study_id,site_id,chamber_id,chamber_year,chamber_type,collar_installation_date,collar_installation_period,collar_insertion_depth,chamber_area,clipping,chamber_opacity,path_to_chamber,chamber_location_notes,chamber_notes,chamber_longitude,chamber_latitude,chamber_position_accuracy,chamber_position_method,elevation_class,chamber_elevation,chamber_elevation_datum,chamber_elevation_accuracy,chamber_elevation_method,chamber_elevation_notes,salinity_class,salinity_method,salinity_notes,inundation_time,inundation_method,inundation_notes,wetland_vegetation_class,wetland_vegetation_method,wetland_vegetation_notes,field_or_manipulation_code,mean_dry_bulk_density,se_dry_bulk_density,mean_soil_organic,se_soil_organic,mean_soil_carbon,se_soil_carbon,mean_soil_total_nitrogen,se_soil_total_nitrogen,mean_soil_CN_ratio,se_soil_CN_ratio,soil_depth
Wilson_et_al_2015,Week's Bay,WB_A,2011,static,2011-12-NA,between one month and one year prior to sampling event,10,0.26,FALSE,clear,TRUE,NA,"collars had twelve 2.5-cmdiameter holes positioned at the sediment surface to allow for natural flooding and drainage. Prior to taking flux measurements, drainage holes were sealed,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wilson_et_al_2015,Week's Bay,WB_B,2011,static,2011-12-NA,between one month and one year prior to sampling event,10,0.26,FALSE,clear,TRUE,NA,"collars had twelve 2.5-cmdiameter holes positioned at the sediment surface to allow for natural flooding and drainage. Prior to taking flux measurements, drainage holes were sealed,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wilson_et_al_2015,Week's Bay,WB_C,2011,static,2011-12-NA,between one month and one year prior to sampling event,10,0.26,FALSE,clear,TRUE,NA,"collars had twelve 2.5-cmdiameter holes positioned at the sediment surface to allow for natural flooding and drainage. Prior to taking flux measurements, drainage holes were sealed,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wilson_et_al_2015,Dog River,DR_A,2011,static,2011-12-NA,between one month and one year prior to sampling event,10,0.26,FALSE,clear,TRUE,NA,"collars had twelve 2.5-cmdiameter holes positioned at the sediment surface to allow for natural flooding and drainage. Prior to taking flux measurements, drainage holes were sealed,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wilson_et_al_2015,Dog River,DR_B,2011,static,2011-12-NA,between one month and one year prior to sampling event,10,0.26,FALSE,clear,TRUE,NA,"collars had twelve 2.5-cmdiameter holes positioned at the sediment surface to allow for natural flooding and drainage. Prior to taking flux measurements, drainage holes were sealed,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wilson_et_al_2015,Dog River,DR_C,2011,static,2011-12-NA,between one month and one year prior to sampling event,10,0.26,FALSE,clear,TRUE,NA,"collars had twelve 2.5-cmdiameter holes positioned at the sediment surface to allow for natural flooding and drainage. Prior to taking flux measurements, drainage holes were sealed,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wilson_et_al_2015,Dauphin Island,DI_A,2011,static,2011-12-NA,between one month and one year prior to sampling event,10,0.26,FALSE,clear,TRUE,NA,"collars had twelve 2.5-cmdiameter holes positioned at the sediment surface to allow for natural flooding and drainage. Prior to taking flux measurements, drainage holes were sealed,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wilson_et_al_2015,Dauphin Island,DI_B,2011,static,2011-12-NA,between one month and one year prior to sampling event,10,0.26,FALSE,clear,TRUE,NA,"collars had twelve 2.5-cmdiameter holes positioned at the sediment surface to allow for natural flooding and drainage. Prior to taking flux measurements, drainage holes were sealed,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wilson_et_al_2015,Dauphin Island,DI_C,2011,static,2011-12-NA,between one month and one year prior to sampling event,10,0.26,FALSE,clear,TRUE,NA,"collars had twelve 2.5-cmdiameter holes positioned at the sediment surface to allow for natural flooding and drainage. Prior to taking flux measurements, drainage holes were sealed,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weston_et_al_2014,RANCOCAS,RANCOCAS_1,2006,static,NA,between one month and one year prior to sampling event,6,0.372,FALSE,clear,TRUE,Vegetated creekbank,Holes in the collars both below-ground and aboveground allowed for drainage and pore-water exchange,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurement,Conductivity meter deployed at site,0.718094818359252,measurement,Pressure transducer deployed on site for several months,NA,measurement,clip plots to determine biomass,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
