study_id,site_id,plot_id,longitude,latitude,position_method,elevation,elevation_se,datum,elevation_method,MSL,MHW,tidal_datum_source,year,is_peak_biomass,field_or_manipulation_code,genus,species,other_cover_description,harvest_or_allometry,allometric_measurements_present,plot_area,AGB_total,BGB_total,root_and_rhizome_to_shoot_ratio
Morris_et_al_2020,Fire Island,m3-1,-72.909223,40.720615,RTK,0.32900000000000007,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,92.44,NA,NA
Morris_et_al_2020,Fire Island,m3-1,-72.909334,40.720754,RTK,0.2684,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,504.12,NA,NA
Morris_et_al_2020,Fire Island,m3-1,-72.909363,40.720862,RTK,0.244,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,581.84,NA,NA
Morris_et_al_2020,Fire Island,m3-1,-72.909451,40.721018,RTK,0.2254,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,673.72,NA,NA
Morris_et_al_2020,Fire Island,m3-1,-72.909548,40.721156,RTK,0.23559999999999998,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,520.8,NA,NA
Morris_et_al_2020,Fire Island,m3-1,-72.909691,40.721271,RTK,0.2892,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,166.64,NA,NA
Morris_et_al_2020,Fire Island,m3-1,-72.909737,40.721327,RTK,0.23759999999999998,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,686.16,NA,NA
Morris_et_al_2020,Fire Island,m3-1,-72.909753,40.721379,RTK,0.06520000000000001,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,163.44,NA,NA
Morris_et_al_2020,Fire Island,m3-1,-72.909737,40.721385,RTK,0.017,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,water,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,m3-1,-72.90974,40.721387,RTK,-0.013,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,water,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,m3-1,-72.909736,40.72139,RTK,-0.046,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,water,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,m3-1,-72.909733,40.721387,RTK,-0.022,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,water,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,m3-1,-72.909737,40.721387,RTK,-0.009,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,water,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,m2-2,-72.912981,40.72219,RTK,0.3382,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,426.96000000000004,NA,NA
Morris_et_al_2020,Fire Island,m2-2,-72.913032,40.722316,RTK,0.3194,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,398.84000000000003,NA,NA
Morris_et_al_2020,Fire Island,m2-2,-72.913102,40.722427,RTK,0.3244,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,380.44,NA,NA
Morris_et_al_2020,Fire Island,m2-2,-72.913145,40.72256,RTK,0.3196,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,266.8,NA,NA
Morris_et_al_2020,Fire Island,m2-2,-72.913165,40.722711,RTK,0.32860000000000006,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,525.28,NA,NA
Morris_et_al_2020,Fire Island,m2-2,-72.913377,40.723093,RTK,0.37879999999999997,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,787.4,NA,NA
Morris_et_al_2020,Fire Island,m2-2,-72.913479,40.723169,RTK,0.387,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,668.4,NA,NA
Morris_et_al_2020,Fire Island,m2-2,-72.913664,40.723309,RTK,0.21259999999999998,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,517.76,NA,NA
Morris_et_al_2020,Fire Island,m2-2,-72.913743,40.723391,RTK,0.05700000000000001,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,126.44,NA,NA
Morris_et_al_2020,Fire Island,m2-2,-72.913775,40.723417,RTK,-0.047,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,water,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,m2-2,-72.91377,40.723418,RTK,-0.029,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,water,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,m2-2,-72.913769,40.723415,RTK,0.042,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,water,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,m2-2,-72.913774,40.723414,RTK,-0.021,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,water,harvest,NA,0.25,0,NA,NA
