study_id,site_id,chamber_id,state,estuary,wetland_type,chamber_latitude,chamber_longitude,chamber_position_method,chamber_elevation,chamber_elevation_zstar,chamber_elevation_method,chamber_elevation_datum
Janousek_et_al_2025,ALD-PA,2096,WA,Columbia River,Non-tidal wet pasture,46.3143366167,-123.6831747725,RTK-GPS,2.096,0.5194690265486728,RTK-GPS,NAVD88
Janousek_et_al_2025,ALD-PA,2097,WA,Columbia River,Non-tidal wet pasture,46.3143649376,-123.6831871002,RTK-GPS,2.103,0.5256637168141596,RTK-GPS,NAVD88
Janousek_et_al_2025,ALD-PA,2098,WA,Columbia River,Non-tidal wet pasture,46.3144248466,-123.6832448644,RTK-GPS,2.09,0.5141592920353982,RTK-GPS,NAVD88
Janousek_et_al_2025,ALD-PA,2099,WA,Columbia River,Non-tidal wet pasture,46.3144544715,-123.6832648974,RTK-GPS,2.151,0.5681415929203539,RTK-GPS,NAVD88
Janousek_et_al_2025,ALD-PA,2100,WA,Columbia River,Non-tidal wet pasture,46.3145359704,-123.6833077342,RTK-GPS,2.07,0.4964601769911504,RTK-GPS,NAVD88
Janousek_et_al_2025,ALD-PA,2101,WA,Columbia River,Non-tidal wet pasture,46.3145661506,-123.6833251895,RTK-GPS,2.035,0.46548672566371707,RTK-GPS,NAVD88
Janousek_et_al_2025,BIS-EM,2186,WA,Padilla Bay,Emergent marsh,48.4539825497,-122.47295388,RTK-GPS,2.369,0.8639112903225808,RTK-GPS,NAVD88
Janousek_et_al_2025,BIS-EM,2187,WA,Padilla Bay,Emergent marsh,48.4539614885,-122.4729871931,RTK-GPS,2.338,0.8326612903225807,RTK-GPS,NAVD88
Janousek_et_al_2025,BIS-EM,2188,WA,Padilla Bay,Emergent marsh,48.4539097965,-122.4730504965,RTK-GPS,2.335,0.8296370967741935,RTK-GPS,NAVD88
Janousek_et_al_2025,BIS-EM,2189,WA,Padilla Bay,Emergent marsh,48.4538944643,-122.4730932582,RTK-GPS,2.355,0.8497983870967741,RTK-GPS,NAVD88
Janousek_et_al_2025,BIS-EM,2190,WA,Padilla Bay,Emergent marsh,48.4538383252,-122.47318152,RTK-GPS,2.386,0.8810483870967744,RTK-GPS,NAVD88
Janousek_et_al_2025,BIS-EM,2191,WA,Padilla Bay,Emergent marsh,48.4538137074,-122.4732122459,RTK-GPS,2.382,0.8770161290322582,RTK-GPS,NAVD88
Janousek_et_al_2025,DAN-EM,2042,OR,Coos,Emergent marsh,43.2832855766,-124.3233290137,RTK-GPS,1.996,0.7324058919803601,RTK-GPS,NAVD88
