Subsite,Point_type,Full_name,Plot,Use?,Note,RTK_Sensor,Coordinate_system,Datum,GEOID,Year,Month,Day,Easting,Northing,Latitude_dd,Longitude_dd,Elevation_m,Hz_Prec,Vt_Prec,PDOP,Sats,Description,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Solution status,Averaging start,Averaging end,Samples,Base easting,Base northing,Base elevation,Baseline
GCReW,Survey mark,flume,,No,,Emlid Reach RS2,NAD 1983 2011 UTM Zone 18N,NAVD88 ,,2021,1,14,365839.587,4304025.555,,,0.354,,,,,,0.01,0.01,0.013,0.014,2.134,FIX,1/14/2021 13:20,1/14/2021 13:20,25,365627.213,4303941.839,2.743,228.319
Kirk,Collar,Kirk collar 1A UL,1A,No,"Can use if necessary, but this is a duplicate point.",Emlid Reach RS2,NAD 1983 2011 UTM Zone 18N,NAVD88 ,,2021,1,14,366001.256,4304075.705,,,0.211,,,,,,0.01,0.011,0.01,0.015,2.134,FIX,1/14/2021 13:45,1/14/2021 13:45,50,365627.213,4303941.839,2.743,397.345
Kirk,Collar,Kirk collar 1A LL,1A,No,"Can use if necessary, but this is a duplicate point.",Emlid Reach RS2,NAD 1983 2011 UTM Zone 18N,NAVD88,,2021,1,14,366001.406,4304075.197,,,0.199,,,,,,0.01,0.012,0.011,0.016,2.134,FIX,1/14/2021 13:46,1/14/2021 13:46,50,365627.213,4303941.839,2.743,397.316
Kirk,Collar,Kirk collar 1A LR,1A,No,"Can use if necessary, but this is a duplicate point.",Emlid Reach RS2,NAD 1983 2011 UTM Zone 18N,NAVD88,,2021,1,14,366001.932,4304075.228,,,0.211,,,,,,0.011,0.02,0.011,0.023,2.134,FIX,1/14/2021 13:47,1/14/2021 13:47,50,365627.213,4303941.839,2.743,397.822
Kirk,Collar,Kirk collar 1A UR,1A,No,"Can use if necessary, but this is a duplicate point.",Emlid Reach RS2,NAD 1983 2011 UTM Zone 18N,NAVD88,,2021,1,14,366001.843,4304075.819,,,0.181,,,,,,0.011,0.016,0.011,0.019,2.134,FIX,1/14/2021 13:47,1/14/2021 13:48,50,365627.213,4303941.839,2.743,397.936
Kirk,Collar,Kirk collar 1B UL,1B,No,"Can use if necessary, but this is a duplicate point.",Emlid Reach RS2,NAD 1983 2011 UTM Zone 18N,NAVD88,,2021,1,14,366002.686,4304076.126,,,0.21,,,,,,0.011,0.016,0.011,0.02,2.134,FIX,1/14/2021 13:48,1/14/2021 13:48,50,365627.213,4303941.839,2.743,398.834
Kirk,Collar,Kirk collar 1B LL,1B,No,"Can use if necessary, but this is a duplicate point.",Emlid Reach RS2,NAD 1983 2011 UTM Zone 18N,NAVD88,,2021,1,14,366002.809,4304075.581,,,0.203,,,,,,0.012,0.011,0.011,0.016,2.134,FIX,1/14/2021 13:49,1/14/2021 13:49,50,365627.213,4303941.839,2.743,398.766
Kirk,Collar,Kirk collar 1B LR,1B,No,"Can use if necessary, but this is a duplicate point.",Emlid Reach RS2,NAD 1983 2011 UTM Zone 18N,NAVD88,,2021,1,14,366003.341,4304075.692,,,0.223,,,,,,0.01,0.013,0.011,0.017,2.134,FIX,1/14/2021 13:49,1/14/2021 13:49,50,365627.213,4303941.839,2.743,399.305
Kirk,Collar,Kirk collar 1B UR,1B,No,"Can use if necessary, but this is a duplicate point.",Emlid Reach RS2,NAD 1983 2011 UTM Zone 18N,NAVD88,,2021,1,14,366003.229,4304076.236,,,0.205,,,,,,0.011,0.013,0.01,0.017,2.134,FIX,1/14/2021 13:50,1/14/2021 13:50,50,365627.213,4303941.839,2.743,399.382
Kirk,Phenology quadrat,Kirk quad 3 UL,1B,No,"Can use if necessary, but this is a duplicate point.",Emlid Reach RS2,NAD 1983 2011 UTM Zone 18N,NAVD88,,2021,1,14,366002.956,4304076.866,,,0.203,,,,,,0.012,0.011,0.01,0.017,2.134,FIX,1/14/2021 13:51,1/14/2021 13:51,50,365627.213,4303941.839,2.743,399.337
